Emissor;CNPJ Emissor;Codigo Produto;Descricao Produto;Unidade;Quantidade;Valor Unitario;Valor Total;data_emissao_nota
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;18-737;BORRACHA ISOLAÇÃO MIT. VOLVO;PC;300;0,75;225;14/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;499-229;BORRACHA ISOLAÇÃO SP LUCAS ;PC;500;1,14;570;27/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;499-229;BORRACHA ISOLAÇÃO SP LUCAS ;PC;500;1,14;570;28/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;712-16;BORRACHA ISOLAÇÃO SPRINTER LUCAS;PC;500;1,14;570;14/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;567-485;BORRACHA PASSAT;PC;1500;0,5;750;20/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;567-485;BORRACHA PASSAT;PC;1500;0,5;750;02/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;365-785;BORRACHA SP LUCAS ;PC;500;1,14;570;02/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;260-515;BUCHA EXTERNA ISOLAÇÃO BOBINA 29MT;PC;100;0,5;50;31/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;389-840;BUCHA INTERNA ISOLAÇÃO BOBINA 29MT;PC;100;0,5;50;31/07/2025
TEXTIL GROSSENBACHER LTDA;32.362.538/2697-49;245-813;CADARÇO ALGODÃO 19MM CRU COM LISTRA PRETA;MT;19500;0,1971;3843.45;28/05/2025
TEXTIL GROSSENBACHER LTDA;32.362.538/2697-49;245-813;CADARÇO ALGODÃO 19MM CRU COM LISTRA PRETA;MT;25000;0,1971;4927.5;18/07/2025
TEXTIL GROSSENBACHER LTDA;32.362.538/2697-49;941-744;CADARÇO ALGODÃO/POLIESTER 19MM;MT;8000;0,1971;1576.8;28/05/2025
TEXTIL GROSSENBACHER LTDA;32.362.538/2697-49;941-744;CADARÇO ALGODÃO/POLIESTER 19MM;MT;25000;0,1971;4927.5;18/07/2025
ERLIN J. DE SOUZA;54.294.551/2137-12;250-627;CADARÇO DE FERRO SCANIA BOSCH SERIE 5 ;PC;50;45;2250;02/06/2025
ERLIN J. DE SOUZA;54.294.551/2137-12;461-569;CADARÇO M100 12V S/ SAPATA;PC;30;49,8;1494;02/06/2025
ERLIN J. DE SOUZA;54.294.551/2137-12;861-192;CADARÇO PERKINS S/ SAPATA;PC;30;73,5;2205;13/06/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;745-375;CORDOALHA DE COBRE TORCIDA 3,1MM;MT;197;5,65;1113.05;27/05/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;745-375;CORDOALHA DE COBRE TORCIDA 3,1MM;MT;199;5,75;1144.25;30/06/2025
AMS INDUSTRIA E COMERCIO DE CORDOALHAS EIRELI - EPP;81.148.555/6983-76;690-698;CORDOALHA DE COBRE TORCIDA 4,0MM;MT;210;9,96;2091.6;23/07/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;507-532;CORDOALHA DE COBRE TORCIDA 4,2 MM;MT;197;10,05;1979.85;27/05/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;507-532;CORDOALHA DE COBRE TORCIDA 4,2 MM;MT;387;10,55;4082.85;30/06/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;636-526;CORDOALHA DE COBRE TORCIDA 5,0 MM;MT;200;13,9;2780;27/05/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;636-526;CORDOALHA DE COBRE TORCIDA 5,0 MM;MT;193;14,1;2721.3;30/06/2025
AMS INDUSTRIA E COMERCIO DE CORDOALHAS EIRELI - EPP;81.148.555/6983-76;636-526;CORDOALHA DE COBRE TORCIDA 5,0 MM;MT;110;13,28;1460.8;23/07/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;434-80;CORDOALHA DE COBRE TORCIDA 6,0 MM;MT;193;20,2;3898.6;30/06/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;666-690;CORDOALHA DE COBRE TORCIDA 6,0MM;MT;101;19,9;2009.9;27/05/2025
AMS INDUSTRIA E COMERCIO DE CORDOALHAS EIRELI - EPP;81.148.555/6983-76;666-690;CORDOALHA DE COBRE TORCIDA 6,0MM;MT;210;18,97;3983.7;23/07/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;592-429;CORDOALHA RED. NUA EXTRA FLEXIVEL 8,0 MM;MT;199;24,850026;4957.58;27/05/2025
INDEL BAURU IND ELETROMETALURGICA LTDA;51.582.235/1414-65;592-429;CORDOALHA RED. NUA EXTRA FLEXIVEL 8,0 MM;MT;202;25,3;5110.6;30/06/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;60-596;EMBALAGEM ALTERNADOR S/ IMPRESSÃƒO MCM;PC;570;6,6;3762;11/06/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;252-38;EMBALAGEM JF;UN;2210;2,15;4751.5;11/06/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;252-38;EMBALAGEM JF;UN;2124;2,15;4566.6;24/06/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;153-901;EMBALAGEM JF NOVA;UN;1280;2,83;3622.4;03/07/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;153-901;EMBALAGEM JF NOVA;UN;937;2,83;2651.71;07/07/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;226-272;EMBALAGEM PASSAT;UN;2148;1,83;3930.84;04/06/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;918-382;EMBALAGEM PERKINS;UN;2304;2,1;4838.4;16/05/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;918-382;EMBALAGEM PERKINS;UN;2200;2,1;4620;17/07/2025
CARTONAGEM FRASPAPER PACK JAU LTDA.EPP;95.439.691/1481-67;564-409;EMBALAGEM PERKINS NOVA;UN;2126;2,6;5527.6;24/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;832-427;ESCOVA 29MT 12V (D-153 12V);PC;1000;2,42969;2429.69;14/07/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;90-680;ESCOVA 29MT 24V (D-153 24V);PC;3000;3,1737;9521.1;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;90-680;ESCOVA 29MT 24V (D-153 24V);PC;1000;2,84185;2841.85;14/07/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;375-926;ESCOVA 32C 24V (FJS-002 24V);PC;500;4,87186;2435.93;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;846-802;ESCOVA 38MT 12V ;PC;300;3,641667;1092.5;12/05/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;244-796;ESCOVA 38MT 24V;PC;400;4,419825;1767.93;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;244-416;ESCOVA 39MT 12V (D 173);PC;300;4,2651;1279.53;12/05/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;789-335;ESCOVA BX-220;JG;200;1,20345;240.69;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;319-127;ESCOVA DENSO MÉDIA (FTS 138);PC;500;1,62168;810.84;12/05/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;210-832;ESCOVA DENSO MÉDIA (FTS 140);JG;500;1,22252;611.26;17/07/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;148-222;ESCOVA ISKRA 12V (IKS 96 12V PE);PC;200;5,69555;1139.11;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;403-514;ESCOVA ISKRA 24V (IKS 96 24V PE );PC;200;4,97235;994.47;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;117-280;ESCOVA JX 42;PC;200;1,3632;272.64;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;117-280;ESCOVA JX 42;PC;200;1,3632;272.64;14/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;340-910;ESCOVA MINI ISKRA (IKS 952);PC;1000;2,51606;2516.06;17/07/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;520-152;ESCOVA MITS 101 (BS- 149 PE);PC;200;1,20535;241.07;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;339-509;ESCOVA MITSUBISHI PEQUENA S-10 - (FJS-189);PC;400;1,098325;439.33;12/05/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;339-509;ESCOVA MITSUBISHI PEQUENA S-10 - (FJS-189);PC;500;1,56704;783.52;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;449-721;ESCOVA PALIO (JS -36 PE);PC;500;1,43646;718.23;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;846-927;ESCOVA PALIO (JS-22DK);PC;600;1,098334;659;13/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;149-447;ESCOVA PASSAT ;PC;3000;0,8243;2472.9;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;237-119;ESCOVA PERKINS - (213/13 POSITIVA PE);PC;300;9,834134;2950.24;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;122-190;ESCOVA PRESTOLITE 12V  (PGM 100 R-12V);PC;500;1,216656;6083.28;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;307-436;ESCOVA PRESTOLITE 24V - (PM 100R 24V);PC;300;1,10548;3316.44;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;142-238;ESCOVA SP LUCAS  (JS 32/A - 12V);PC;1000;8,13948;8139.48;17/07/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;853-772;ESCOVA SP VALEO (PS-144);PC;200;2,99345;598.69;25/06/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;853-772;ESCOVA SP VALEO (PS-144);PC;500;2,90746;1453.73;12/05/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;266-86;ESCOVA SVX 9 -12V;PC;1000;1,1502;1150.2;14/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;266-86;ESCOVA SVX 9 -12V;PC;2000;1,1502;2300.4;17/07/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;836-696;ESCOVA TERMOKING (FNS 173);PC;500;1,80368;901.84;12/05/2025
SCHUNK DO BRASIL ELETROGRAFITES LTDA;66.866.738/7136-41;464-441;ESCOVA TOYOTA 24V (FTS 128 A);PC;1000;2,06876;2068.76;12/05/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;77-232;ESCOVAS BX-123;JG;500;4,15886;2079.43;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;679-216;ESCOVAS FNSX-173/174-12V;JG;400;3,967825;1587.13;25/06/2025
SULCARBON IND E COM DE PECAS SINTERIZADAS LTDA;56.915.977/3651-85;312-83;ESCOVAS FNSX-175/176-24V;JG;200;3,0672;613.44;25/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;62-135;ESPAGUETE 180° - 0,80 MM;MT;200;2,75;550;14/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;62-135;ESPAGUETE 180° - 0,80 MM;MT;200;2,75;550;26/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;382-468;ESPAGUETE 180° - 0,80MM;RL;200;2,75;550;02/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;382-468;ESPAGUETE 180° - 0,80MM;RL;100;2,75;275;27/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;382-468;ESPAGUETE 180° - 0,80MM;MT;100;2,75;275;14/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;382-468;ESPAGUETE 180° - 0,80MM;RL;200;2,75;550;14/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;48-678;ESPAGUETE 180° - 3,00 MM;MT;350;5,4;1890;14/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;48-678;ESPAGUETE 180° - 3,00 MM;MT;400;5,4;2160;28/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;166-449;ESPAGUETE 180° - 4,00 MM;MT;200;8,47;1694;08/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;166-449;ESPAGUETE 180° - 4,00 MM;MT;400;8,47;3388;02/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;166-449;ESPAGUETE 180° - 4,00 MM;MT;400;8,47;3388;28/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;562-186;ESPAGUETE 180° - 5,00 MM;MT;315;9,25;2913.75;02/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;730-921;ESPAGUETE 180° - 6,00 MM;MT;200;9,25;1850;26/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;730-921;ESPAGUETE 180° - 6,00 MM;MT;200;9,25;1850;27/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;539-485;ESPAGUETE 180° - 7,00 MM;MT;200;10,3;2060;26/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;539-485;ESPAGUETE 180° - 7,00 MM;RL;100;10,3;1030;14/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;791-296;ESPAGUETE 180° - 7,00MM ;MT;100;9,81;981;08/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;402-650;ESPAGUETE 180° - 8,00 MM;MT;100;11,45;1145;17/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;402-650;ESPAGUETE 180° - 8,00 MM;MT;100;11,45;1145;27/06/2025
LARISSA ALVES;38.236.846/4468-14;838-310;ETIQUETAS BRANCAS;UN;5562;0,113269;630;15/07/2025
LARISSA ALVES;38.236.846/4468-14;174-42;ETIQUETAS PRETA;UN;10506;0,113269;1190;15/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;625-666;FIO 1.0X4.0 (CANTO REDONDO);KG;86;74,539839;6455.15;11/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;698-846;FIO 1.0X5.0 (CANTO QUADRADO);KG;56;73;4124.5;13/06/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;771-199;FIO 1.2X16,00(CANTO REDONDO);KG;84;73,480048;6187.02;27/05/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;759-599;FIO 1.3 X 16 (CANTO QUADRADO) - TERMINAL JF;KG;88;73,480046;6517.68;27/05/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;197-764;FIO 1.5X4.0 (CANTO QUADRADO);KG;101;72,5;7366;23/07/2025
TREMAX INDUSTRIA E COMERCIO LTDA;16.634.474/9326-63;854-280;FIO 1.5X5,5 (CANTO QUADRADO);KG;133;71,5;9573.85;12/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;732-930;FIO 1.5X6.0 (CANTO QUADRADO);KG;15;80,933247;1236.66;05/05/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;732-930;FIO 1.5X6.0 (CANTO QUADRADO);KG;120;61,592014;7403.36;06/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;732-930;FIO 1.5X6.0 (CANTO QUADRADO);KG;3;85,448388;264.89;27/05/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;732-930;FIO 1.5X6.0 (CANTO QUADRADO);KG;105;74,9;7871.99;11/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;732-930;FIO 1.5X6.0 (CANTO QUADRADO);KG;103;73;7555.5;13/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;732-930;FIO 1.5X6.0 (CANTO QUADRADO);KG;7;82,867008;648.02;15/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;732-930;FIO 1.5X6.0 (CANTO QUADRADO);KG;105;73;7701.5;16/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;930-207;FIO 1.5X7.0 (CANTO QUADRADO);KG;52;73;3796;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;930-207;FIO 1.5X7.0 (CANTO QUADRADO);KG;105;73;7701.5;16/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;667-598;FIO 1.8X6.8 (CANTO QUADRADO);KG;207;73,479991;15276.49;19/05/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;667-598;FIO 1.8X6.8 (CANTO QUADRADO);PC;102;72,5;7460.25;23/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;811-775;FIO 2.0X4.5 (CANTO QUADRADO);KG;107;72,439982;7772.81;06/05/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;811-775;FIO 2.0X4.5 (CANTO QUADRADO);KG;109;74,9;8179.08;11/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;811-775;FIO 2.0X4.5 (CANTO QUADRADO);KG;99;73;7263.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;811-775;FIO 2.0X4.5 (CANTO QUADRADO);KG;199;73;14527;16/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;900-937;FIO 2.0X5,2 (CANTO QUADRADO);KG;105;72,44;7606.2;06/05/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;900-937;FIO 2.0X5,2 (CANTO QUADRADO);KG;50;73;3650;13/06/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;733-89;FIO 2.0X6.0 (CANTO QUADRADO);KG;106;72,439944;7707.61;06/05/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;733-89;FIO 2.0X6.0 (CANTO QUADRADO);KG;52;73;3832.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;733-89;FIO 2.0X6.0 (CANTO QUADRADO);KG;99;73;7263.5;16/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;514;72,439993;37241.4;06/05/2025
TREMAX INDUSTRIA E COMERCIO LTDA;16.634.474/9326-63;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;109;71,5;7793.5;12/05/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;102;74,9;7699.72;11/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;306;73;22374.5;13/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;7;91,83;720.69;18/06/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;500;73,75;36919.25;24/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;64;82,867354;5310.14;15/07/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;439;73;32083.5;16/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;679-651;FIO 2.0X7.0 (CANTO QUADRADO);KG;201;72,5;14587;18/07/2025
DSC INDUSTRIAL LTDA;61.382.879/2243-47;663-746;FIO 2.0X8.5 (CANTO QUADRADO);KG;106;72,439944;7743.83;06/05/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;663-746;FIO 2.0X8.5 (CANTO QUADRADO);KG;102;73;7482.5;13/06/2025
FGL INDUSTRIA DE CONDUTORES ELETRICOS LTDA;78.575.812/7126-48;663-746;FIO 2.0X8.5 (CANTO QUADRADO);KG;105;73;7665;16/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;14-950;FIO 2.5X6.5 (CANTO QUADRADO);KG;15;82,701835;1262.03;08/05/2025
TREMAX INDUSTRIA E COMERCIO LTDA;16.634.474/9326-63;14-950;FIO 2.5X6.5 (CANTO QUADRADO);KG;105;71,5;7521.8;12/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;858-578;FIO 2.5X8.0 (CANTO QUADRADO);KG;12;85,447713;1045.88;27/05/2025
TREMAX INDUSTRIA E COMERCIO LTDA;16.634.474/9326-63;858-578;FIO 2.5X8.0 (CANTO QUADRADO);KG;119;71,5;8558.55;12/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;253-136;FIO ESMALTADO 12 AWG;KG;37;83,984466;3189.73;27/06/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;788-252;FIO ESMALTADO 18 AWG;KG;22;86,310562;1920.41;16/05/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;788-252;FIO ESMALTADO 18 AWG;KG;23;83,723064;1934.84;23/07/2025
DSANTIS PEDERNEIRAS IND. DE MAT ELETRICO LTDA EPP;56.572.669/4191-19;721-498;FIO ESMALTADO 20 AWG;KG;23;86,496319;1997.2;20/05/2025
